Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curva,alpha_fuzzy,radio_curva
L,40,67.30,24.90,10.00,10.07,0.00,0.00,307.85,-58.15,9.51,0.99,0.04
S,41,18.30,13.10,17.30,11.14,-0.01,17.47,437.23,-20.88,2.46,0.93,0.01
L,40,66.60,24.90,10.00,10.05,0.00,0.00,308.04,-61.37,10.01,0.99,0.04
S,40,19.00,13.10,19.62,13.07,-0.01,19.93,483.37,-26.91,2.29,0.94,0.01
L,40,69.00,24.90,10.00,9.65,0.00,0.00,318.11,-60.40,10.07,0.99,0.04
S,40,20.00,13.10,22.74,14.75,-0.00,23.32,558.98,-40.98,2.53,0.93,0.01
L,40,67.50,24.90,10.00,9.88,0.00,0.00,314.19,-54.76,10.19,0.99,0.04
S,40,21.20,13.10,25.80,16.32,0.00,27.26,644.20,-51.95,3.68,0.88,0.01
L,40,70.80,24.90,10.00,9.77,0.00,0.00,317.82,-54.75,10.13,0.99,0.04
S,40,22.60,13.10,27.48,18.66,0.01,31.50,681.95,-78.73,5.52,0.76,0.01
L,40,69.10,24.90,10.00,9.90,0.00,0.00,315.83,-54.49,9.58,0.99,0.03
S,41,23.30,13.10,25.69,20.81,0.02,33.20,631.29,-97.08,7.37,0.59,0.01
L,40,68.00,24.90,10.00,9.97,0.00,0.00,314.58,-60.01,9.38,0.99,0.03
S,40,22.70,13.10,22.28,22.21,0.03,30.77,534.06,-125.05,8.99,0.46,0.02
L,40,65.30,24.90,10.00,9.90,0.00,0.00,316.41,-60.35,9.46,0.99,0.04
S,40,23.10,13.10,22.62,22.33,0.13,31.70,540.16,-488.55,11.54,0.46,0.02
L,40,66.70,24.90,10.00,10.06,0.00,0.00,312.84,-57.93,9.66,0.99,0.04
S,40,21.40,13.10,20.53,21.56,0.08,26.39,507.32,-187.01,19.88,0.49,0.04
L,40,68.10,24.90,10.00,10.12,0.00,0.00,310.86,-55.64,9.93,0.99,0.03
S,40,11.10,13.10,4.92,20.93,0.02,-5.43,110.23,-47.75,35.17,0.49,0.06
L,40,63.90,24.90,10.00,10.19,0.00,0.00,308.42,-61.36,9.82,0.99,0.04
S,40,8.80,13.10,3.35,17.77,0.01,-13.01,58.91,-115.65,36.70,0.42,0.07
L,40,64.90,24.90,10.00,10.17,0.00,0.00,307.93,-58.21,9.71,0.99,0.03
S,41,8.50,13.10,-7.52,12.91,0.01,-14.26,-184.83,-110.92,29.23,0.77,0.08
L,40,65.10,24.90,10.00,10.09,0.00,0.00,308.95,-59.49,9.73,0.99,0.04
S,40,8.50,13.10,-6.46,7.44,-0.00,-14.50,-133.13,-73.93,23.84,0.73,0.11
L,40,65.00,24.90,10.00,10.09,0.00,0.00,308.47,-61.93,9.80,0.99,0.04
S,40,8.70,13.10,-6.17,2.75,-0.01,-14.06,-84.06,-51.52,17.89,0.73,0.23
L,40,64.50,24.90,10.00,10.14,0.00,0.00,306.54,-62.49,9.91,0.99,0.04
S,40,9.00,13.10,-6.33,0.36,-0.03,-13.28,-77.63,-24.26,14.27,0.75,0.66
L,40,61.40,24.90,10.00,10.23,0.00,0.00,303.32,-62.48,10.23,0.99,0.03
S,40,10.30,13.10,-6.37,-0.73,-0.11,-9.48,-89.29,274.21,10.40,0.87,0.66
L,40,66.90,24.90,10.00,10.29,0.00,0.00,300.39,-57.01,10.56,0.99,0.04
S,40,10.30,13.10,-6.88,-0.88,-0.03,-9.58,-131.25,-141.33,3.43,0.89,0.66
L,40,64.40,24.90,10.00,10.31,0.00,0.00,298.27,-57.27,10.64,0.99,0.04
S,40,11.40,13.10,-5.72,-1.49,-0.02,-6.38,-119.79,-23.49,3.00,0.97,0.66
L,40,64.90,24.90,10.00,10.23,-0.00,0.00,298.53,-54.10,10.87,0.99,0.04
S,40,12.90,13.10,-1.75,-1.81,-0.03,-1.89,-32.69,7.22,0.19,0.99,0.66
L,40,69.60,24.90,10.00,10.20,-0.00,0.00,298.12,-57.92,10.74,0.99,0.04
S,40,13.70,13.10,0.69,-1.59,-0.11,0.57,25.79,306.86,0.64,0.99,0.66
L,40,63.50,24.90,10.00,10.16,-0.00,0.00,297.90,-56.16,10.46,0.99,0.04
L,40,63.50,24.90,10.00,10.16,-0.00,0.00,297.90,-56.16,10.46,0.99,0.04
L,40,63.50,24.90,10.00,10.16,-0.00,0.00,297.90,-56.16,10.46,0.99,0.04
S,40,14.10,13.10,1.98,-0.73,-0.01,1.86,50.49,-177.69,1.95,0.99,0.66
L,40,63.80,24.90,10.00,10.12,-0.00,0.00,298.01,-50.58,10.30,0.99,0.04
S,40,16.90,13.10,11.67,0.11,-0.00,10.80,297.25,-43.42,6.29,0.79,0.66
L,40,63.60,24.90,10.00,10.08,-0.00,0.00,298.34,-54.97,9.95,0.99,0.04
S,40,17.80,13.10,13.90,1.49,-0.01,13.89,386.56,-12.53,0.56,0.99,0.66
L,40,63.70,24.90,10.00,9.91,-0.00,0.00,302.43,-58.42,9.69,0.99,0.04
S,40,17.90,13.10,14.63,4.26,-0.01,14.59,405.41,-19.96,3.44,0.90,0.20
L,40,67.00,24.90,10.00,9.88,-0.00,0.00,303.77,-52.10,9.64,0.99,0.04
S,40,18.50,13.10,16.60,7.36,-0.00,16.80,436.25,-30.26,3.69,0.89,0.01
L,40,59.10,24.90,10.00,9.57,-0.00,0.00,312.41,-56.29,9.30,0.99,0.04
S,40,18.30,13.10,16.33,9.60,-0.00,16.54,424.15,-31.54,4.25,0.86,0.02
L,40,60.30,24.90,10.00,9.46,0.00,0.00,317.90,-58.07,8.61,0.99,0.03
S,40,19.40,13.10,19.49,11.58,0.00,20.21,494.33,-40.04,4.26,0.86,0.01
L,40,56.60,24.90,10.00,9.58,0.00,0.00,317.74,-65.78,8.49,0.99,0.03
S,40,18.40,13.10,17.12,13.18,0.01,17.45,436.56,-50.90,4.26,0.86,0.01
L,40,60.10,24.90,10.00,10.25,0.00,0.00,302.74,-65.48,8.85,0.99,0.03
S,41,19.40,13.10,19.48,14.54,0.01,20.65,486.14,-56.81,5.57,0.79,0.02
L,40,56.20,24.90,10.00,10.15,0.00,0.00,303.81,-65.02,9.81,0.99,0.04
S,40,19.00,13.10,17.32,15.43,0.01,19.15,435.49,-66.07,7.99,0.56,0.02
L,40,57.00,24.90,10.00,10.10,0.00,0.00,304.39,-62.48,10.16,0.99,0.04
S,40,19.20,13.10,17.28,15.29,0.01,19.52,448.76,-70.96,9.01,0.50,0.02
L,40,57.30,24.90,10.00,10.11,0.00,0.00,303.43,-59.42,10.57,0.99,0.04
S,40,19.10,13.10,17.06,15.42,0.01,19.09,451.51,-72.91,9.62,0.50,0.03
L,40,50.90,24.90,10.00,10.04,0.00,0.00,304.70,-63.16,10.64,0.99,0.04
S,40,19.00,13.10,16.97,16.24,0.02,18.75,437.15,-80.33,10.35,0.53,0.03
L,40,49.30,24.90,10.00,9.98,0.00,0.00,306.08,-61.01,10.48,0.99,0.04
S,40,18.50,13.10,16.39,16.03,0.02,17.27,431.76,-79.17,10.87,0.61,0.03
L,40,51.00,24.90,10.00,9.97,0.00,0.00,306.40,-62.94,10.35,0.99,0.04
S,40,16.80,13.10,12.82,15.60,0.01,12.25,351.88,-78.76,11.96,0.79,0.03
L,40,44.90,24.90,10.00,9.94,0.00,0.00,307.24,-66.41,10.39,0.99,0.04
S,40,15.80,13.10,10.00,15.01,0.01,9.33,277.43,-76.06,12.60,0.88,0.03
L,40,49.60,24.90,10.00,10.29,-0.00,0.00,298.58,-54.19,10.90,0.99,0.04
S,40,16.20,13.10,11.26,13.15,0.01,10.59,329.86,-75.29,12.91,0.85,0.04
L,40,39.70,24.90,10.00,9.95,-0.00,0.00,305.66,-58.44,10.64,0.99,0.04
S,40,15.40,13.10,8.82,12.25,0.01,8.26,278.50,-66.41,12.92,0.92,0.04
L,40,35.40,24.90,10.00,10.14,-0.00,0.00,301.09,-59.04,10.36,0.99,0.04
S,41,15.30,13.10,8.56,11.04,0.01,8.04,283.06,-64.97,12.76,0.93,0.04
L,40,32.30,24.90,10.00,10.08,-0.00,0.00,301.91,-55.19,10.18,0.99,0.04
S,40,15.30,13.10,8.62,10.48,0.00,8.11,284.80,-65.00,11.66,0.93,0.04
L,40,80.00,24.90,10.00,9.44,0.00,0.00,318.10,-61.81,9.64,0.99,0.04
S,40,15.20,13.10,8.34,9.98,0.00,7.88,279.84,-62.74,10.71,0.94,0.04
L,40,80.00,24.90,10.00,9.54,0.00,0.00,318.75,-61.35,9.43,0.99,0.04
S,40,15.70,13.10,10.03,9.63,0.00,9.42,323.42,-60.21,9.85,0.89,0.04
L,40,80.00,24.90,10.00,9.72,0.00,0.00,316.64,-61.22,9.22,0.99,0.04
S,40,15.40,13.10,9.11,9.59,0.00,8.57,302.74,-60.96,9.82,0.92,0.04
L,40,17.80,24.90,10.00,10.02,0.00,0.00,310.58,-61.62,9.58,0.99,0.04
S,40,15.60,13.10,9.78,9.66,-0.00,9.20,315.77,-56.97,9.80,0.90,0.04
L,40,19.20,24.90,10.00,10.02,0.00,0.00,310.35,-59.16,9.80,0.99,0.04
S,40,16.20,13.10,11.60,9.98,-0.00,10.99,355.75,-59.12,9.48,0.85,0.04
L,40,22.00,24.90,10.00,10.04,-0.00,0.00,309.72,-54.90,10.00,0.99,0.04
S,41,15.90,13.10,10.72,10.34,0.00,10.10,332.83,-63.12,9.25,0.87,0.03
L,40,10.10,24.90,10.00,10.03,-0.00,0.00,309.84,-58.11,9.83,0.99,0.03
S,40,16.60,13.10,12.70,10.74,0.00,12.16,376.15,-65.52,9.16,0.81,0.03
L,40,17.40,24.90,10.00,10.00,-0.00,0.00,310.27,-56.17,9.48,0.99,0.03
S,40,16.40,13.10,12.13,11.21,0.00,11.54,360.43,-66.50,9.67,0.83,0.03
L,40,13.20,24.90,10.00,10.06,-0.00,0.00,308.92,-44.66,9.55,0.99,0.04
S,41,16.00,13.10,10.99,11.66,0.00,10.36,324.00,-71.54,9.95,0.86,0.03
L,40,80.00,24.90,10.00,9.99,-0.01,0.00,310.19,-39.79,9.57,0.99,0.04
S,40,16.40,13.10,12.13,11.87,0.00,11.54,344.55,-71.86,9.82,0.83,0.03
L,40,80.00,24.90,10.00,9.99,-0.01,0.00,310.38,-39.11,9.24,0.99,0.04
S,40,16.50,13.10,12.39,11.88,0.00,11.81,352.57,-72.22,10.09,0.82,0.03
L,40,80.00,24.90,10.00,10.04,-0.01,0.00,309.22,-27.79,8.80,0.99,0.03
S,41,16.70,13.10,12.91,11.84,0.00,12.39,370.14,-71.30,10.67,0.80,0.04
L,40,80.00,24.90,10.00,9.97,-0.06,0.00,310.64,155.20,8.04,0.99,0.02
S,40,16.10,13.10,11.23,12.08,0.00,10.60,326.52,-69.79,11.13,0.86,0.04
S,40,16.10,13.10,11.23,12.08,0.00,10.60,326.52,-69.79,11.13,0.86,0.04
L,40,80.00,24.90,10.00,9.94,-0.01,0.00,311.78,-92.12,5.03,0.99,0.02
S,40,15.70,13.10,10.04,12.14,0.00,9.43,288.69,-72.25,11.14,0.89,0.03
L,40,80.00,24.90,10.00,10.01,-0.01,0.00,310.23,-24.42,0.42,0.99,0.01
S,40,15.80,13.10,10.37,11.74,0.00,9.76,295.69,-71.03,10.94,0.88,0.03
L,40,16.10,24.90,10.00,10.04,-0.02,0.00,309.27,2.60,2.03,0.99,0.02
S,40,15.60,13.10,9.77,11.10,0.00,9.19,288.81,-67.13,11.03,0.90,0.04
L,40,80.00,24.90,10.00,10.08,-0.07,0.00,308.05,183.84,3.03,0.99,0.02
S,41,15.10,13.10,8.16,10.60,0.00,7.76,251.82,-76.86,11.03,0.94,0.04
L,40,20.80,24.90,10.00,10.19,-0.07,0.00,304.70,122.67,1.63,0.99,0.02
S,40,15.30,13.10,8.89,10.06,-0.00,8.41,270.84,-59.86,10.69,0.93,0.04
L,40,7.70,24.90,10.00,9.73,-0.01,0.00,315.63,-60.03,7.24,0.99,0.06
S,40,15.00,13.10,7.92,9.46,-0.00,7.57,254.49,-56.47,10.94,0.95,0.05
L,40,12.10,24.90,10.00,9.95,-0.01,0.00,311.48,1.77,7.35,0.99,0.01
S,40,14.10,13.10,5.03,9.18,-0.00,4.93,177.24,-56.18,11.19,0.99,0.05
L,40,80.00,24.90,10.00,10.00,-0.07,0.00,310.54,221.23,4.29,0.99,0.00
S,40,14.10,13.10,5.10,8.61,-0.01,4.99,169.77,-47.01,10.58,0.99,0.05
L,40,80.00,24.90,10.00,9.93,-0.07,0.00,312.27,153.99,5.43,0.99,0.06
S,40,13.80,13.10,4.25,7.65,-0.01,4.13,152.04,-47.34,9.60,0.99,0.05
L,40,22.80,24.90,10.00,10.21,-0.02,0.00,305.33,-17.42,11.10,0.99,0.07
S,40,14.30,13.10,5.81,6.65,-0.01,5.70,199.27,-43.08,8.86,0.99,0.05
L,40,18.50,24.90,10.00,10.14,-0.02,0.00,305.90,58.34,12.50,0.99,0.03
S,40,14.00,13.10,4.97,5.92,-0.01,4.85,191.43,-33.57,7.95,0.99,0.05
L,40,80.00,24.90,10.00,10.22,-0.07,0.00,302.97,251.25,10.14,0.99,0.03
S,40,14.10,13.10,5.32,5.72,-0.01,5.20,200.27,-33.98,7.57,0.99,0.05
L,40,22.60,24.90,10.00,10.28,-0.07,0.00,300.27,195.38,10.67,0.99,0.08
S,40,14.70,13.10,7.29,5.61,-0.01,7.07,252.54,-34.06,6.79,0.97,0.05
L,40,23.10,24.90,10.00,10.37,-0.02,0.00,296.12,10.54,17.09,0.99,0.11
S,40,15.20,13.10,9.19,5.98,-0.01,8.49,302.04,-29.41,5.50,0.89,0.04
L,40,80.00,24.90,10.00,10.47,0.06,0.00,291.42,-198.15,20.63,0.99,0.05
S,40,16.10,13.10,11.73,8.04,-0.01,11.06,333.13,-31.18,5.00,0.83,0.03
L,40,36.80,24.90,10.00,10.18,-0.07,0.00,296.30,405.57,14.20,0.99,0.05
S,40,16.10,13.10,11.60,9.43,-0.01,10.99,314.86,-39.53,4.55,0.85,0.02
S,40,16.10,13.10,11.60,9.43,-0.01,10.99,314.86,-39.53,4.55,0.85,0.02
L,40,35.40,24.90,10.00,10.14,-0.13,0.00,296.31,420.33,7.93,0.99,0.03
S,40,15.80,13.10,10.74,10.63,-0.01,10.02,274.01,-39.70,4.90,0.85,0.02
L,40,44.80,24.90,10.00,10.72,0.02,0.00,280.22,-206.22,25.80,0.99,0.08
S,40,16.10,13.10,11.59,9.58,-0.00,10.80,323.84,-41.95,5.74,0.81,0.02
L,40,55.70,24.90,10.00,9.99,0.06,0.00,295.26,-103.77,24.89,0.99,0.11
S,40,16.80,13.10,13.27,9.79,-0.00,12.82,374.15,-42.76,6.67,0.79,0.02
L,40,53.10,24.90,10.00,10.29,-0.08,0.00,287.53,431.26,12.89,0.99,0.06
S,40,15.80,13.10,10.57,10.38,-0.00,9.78,308.49,-51.61,6.46,0.85,0.02
L,40,53.60,24.90,10.00,9.57,-0.04,0.00,304.69,115.75,12.00,0.99,0.03
S,41,15.10,13.10,8.33,10.88,0.00,7.70,237.60,-52.16,6.33,0.91,0.02
L,40,56.10,24.90,10.00,10.07,0.02,0.00,294.10,-59.67,20.89,0.99,0.07
S,40,15.00,13.10,7.96,10.07,0.00,7.43,234.44,-58.74,6.69,0.93,0.03
L,40,57.10,24.90,10.00,10.20,0.02,0.00,290.13,32.58,21.00,0.99,0.09
S,40,15.00,13.10,7.96,9.37,0.00,7.47,240.50,-60.59,7.31,0.93,0.03
L,40,55.10,24.90,10.00,10.03,-0.04,0.00,293.51,241.18,14.69,0.99,0.06
S,40,14.30,13.10,5.56,8.87,0.00,5.44,182.43,-59.36,7.82,0.99,0.04
L,40,56.80,24.90,10.00,9.92,-0.04,0.00,296.09,180.95,13.53,0.99,0.05
S,40,12.70,13.10,0.75,8.11,0.00,0.59,57.56,-59.41,8.44,0.99,0.04
L,40,58.20,24.90,10.00,10.13,-0.06,0.00,291.17,234.82,18.65,0.99,0.07
S,40,12.80,13.10,1.01,6.84,0.00,0.84,54.76,-60.81,8.48,0.99,0.05
L,40,55.50,24.90,10.00,10.15,0.02,0.00,289.75,-74.51,23.00,0.99,0.12
S,40,13.10,13.10,0.17,5.11,0.00,0.00,0.00,0.00,8.25,0.99,0.07
L,40,56.00,24.90,10.00,10.20,0.06,0.00,287.65,-74.33,24.36,0.99,0.07
S,40,12.80,13.10,0.19,3.40,0.00,0.00,0.00,0.00,6.28,0.99,0.06
L,40,55.20,24.90,10.00,9.99,0.02,0.00,291.92,97.16,15.67,0.99,0.00
S,40,12.90,13.10,0.16,0.43,0.00,0.00,0.00,0.00,3.18,0.99,0.06
L,40,55.00,24.90,10.00,9.85,-0.13,0.00,295.71,600.33,8.59,0.99,0.00
S,40,13.00,13.10,0.14,0.46,0.00,0.00,0.00,0.00,1.94,0.99,0.06
L,40,55.20,24.90,10.00,9.75,-0.04,0.00,299.29,48.41,11.81,0.99,0.13
S,40,14.00,13.10,0.13,0.39,0.00,0.00,0.00,0.00,1.22,0.99,0.06
L,40,54.70,24.90,10.00,10.27,0.03,0.00,287.18,-54.01,26.29,0.99,0.13
S,40,14.40,13.10,4.11,0.29,0.00,4.00,99.67,-8.99,0.76,0.99,0.06
L,40,53.50,24.90,10.00,10.36,0.06,0.00,283.27,-56.20,25.01,0.99,0.06
S,41,15.00,13.10,6.05,0.55,0.00,5.96,166.52,-7.71,0.19,0.99,0.01
L,40,53.40,24.90,10.00,10.30,0.02,0.00,282.70,111.00,16.77,0.99,0.01
S,40,15.10,13.10,6.81,1.24,0.00,6.41,200.30,-9.46,1.61,0.95,0.08
L,40,54.10,24.90,10.00,9.92,-0.04,0.00,290.79,278.10,8.90,0.99,0.02
S,40,14.80,13.10,5.90,2.59,0.01,5.63,173.84,-17.31,1.14,0.97,0.01
L,40,53.90,24.90,10.00,9.45,-0.04,0.00,303.63,180.96,13.44,0.99,0.11
S,40,15.30,13.10,7.38,3.47,0.01,7.30,208.57,-20.94,0.20,0.99,0.01
L,40,52.80,24.90,10.00,10.05,0.03,0.00,291.25,-49.44,20.29,0.99,0.10
S,40,15.10,13.10,7.17,4.42,0.01,6.83,201.01,-24.78,1.41,0.96,0.01
L,40,53.00,24.90,10.00,10.15,0.03,0.00,288.23,27.78,19.81,0.99,0.04
S,40,14.90,13.10,6.70,5.05,0.01,6.34,188.23,-30.22,3.09,0.96,0.02
L,40,53.10,24.90,10.00,9.84,0.03,0.00,295.43,41.88,13.91,0.99,0.02
L,40,53.10,24.90,10.00,9.84,0.03,0.00,295.43,41.88,13.91,0.99,0.02
S,40,14.70,13.10,6.07,5.16,0.01,5.85,178.33,-28.58,3.80,0.98,0.03
L,40,52.30,24.90,10.00,9.44,0.02,0.00,306.87,43.60,9.96,0.99,0.02
S,40,14.50,13.10,5.46,5.19,0.01,5.35,167.09,-41.13,4.15,0.99,0.03
L,40,52.10,24.90,10.00,9.62,0.02,0.00,305.44,35.19,8.24,0.99,0.02
S,40,14.70,13.10,6.27,5.13,0.01,6.05,191.26,-41.40,4.11,0.98,0.03
L,40,51.50,24.90,10.00,9.83,0.03,0.00,302.15,26.97,7.28,0.99,0.02
S,40,14.70,13.10,6.37,5.04,0.01,6.14,202.82,-43.34,4.26,0.97,0.03
L,40,51.30,24.90,10.00,9.90,-0.03,0.00,301.18,225.98,6.49,0.99,0.02
S,40,15.00,13.10,7.63,5.16,0.01,7.11,240.45,-47.63,4.69,0.93,0.04
L,40,50.70,24.90,10.00,9.91,0.03,0.00,301.61,-52.36,7.82,0.99,0.07
S,40,14.40,13.10,5.52,5.55,0.02,5.39,189.29,-55.57,5.29,0.99,0.04
L,40,50.10,24.90,10.00,9.96,0.03,0.00,300.70,12.63,11.25,0.99,0.02
S,40,14.90,13.10,7.46,5.91,0.01,6.94,230.53,-53.23,5.81,0.94,0.04
L,40,49.60,24.90,10.00,9.75,0.03,0.00,306.41,20.45,7.65,0.99,0.01
S,40,14.70,13.10,6.68,6.11,0.02,6.42,213.81,-57.38,6.42,0.97,0.04
L,40,50.40,24.90,10.00,9.74,0.03,0.00,308.32,13.21,5.30,0.99,0.02
S,40,14.90,13.10,7.52,6.28,0.02,7.07,234.72,-60.42,6.87,0.94,0.05
L,40,49.70,24.90,10.00,9.82,0.03,0.00,307.59,11.29,3.89,0.99,0.02
S,40,15.60,13.10,9.88,6.44,0.02,9.17,299.53,-62.57,7.37,0.88,0.05
L,40,49.60,24.90,10.00,9.77,0.03,0.00,310.11,6.36,3.04,0.99,0.01
S,41,15.70,13.10,10.14,7.94,0.02,9.48,287.29,-68.16,8.34,0.88,0.04
L,40,48.80,24.90,10.00,9.80,0.03,0.00,310.65,-2.23,1.93,0.99,0.01
S,40,16.00,13.10,11.01,9.06,0.02,10.39,293.60,-70.28,8.48,0.86,0.04
S,40,16.00,13.10,11.01,9.06,0.02,10.39,293.60,-70.28,8.48,0.86,0.04
L,40,48.70,24.90,10.00,9.87,0.03,0.00,309.89,-6.73,1.19,0.99,0.00
S,41,16.20,13.10,11.60,9.41,0.02,10.98,311.40,-72.47,9.24,0.85,0.04
L,40,47.90,24.90,10.00,9.92,0.03,0.00,309.32,-18.46,0.47,0.99,0.00
S,40,16.00,13.10,11.01,9.41,0.02,10.39,308.86,-75.61,9.94,0.86,0.04
L,40,47.20,24.90,10.00,10.00,0.03,0.00,307.73,-22.20,0.46,0.99,0.00
S,40,16.30,13.10,11.87,9.77,0.02,11.27,331.40,-75.59,10.77,0.84,0.04
L,40,47.10,24.90,10.00,10.08,0.03,0.00,305.62,-30.62,1.81,0.99,0.01
S,40,16.50,13.10,12.41,9.81,0.01,11.84,356.54,-76.71,11.31,0.82,0.04
L,40,47.80,24.90,10.00,9.99,0.03,0.00,307.51,-41.21,2.57,0.99,0.01
S,40,16.20,13.10,11.56,10.50,0.02,10.94,331.36,-84.81,11.36,0.85,0.04
L,40,47.30,24.90,10.00,9.87,-0.04,0.00,310.81,235.45,3.67,0.99,0.02
S,40,17.00,13.10,13.67,11.26,0.02,13.28,372.86,-87.40,11.82,0.77,0.04
L,40,47.10,24.90,10.00,9.92,0.06,0.00,310.11,-267.61,2.65,0.99,0.01
S,40,18.20,13.10,16.13,11.90,0.02,16.73,434.32,-86.51,12.13,0.65,0.04
L,40,46.70,24.90,10.00,9.53,0.07,0.00,320.93,-154.68,0.75,0.99,0.00
S,40,18.10,13.10,15.89,12.48,0.02,16.35,437.59,-91.94,12.51,0.66,0.04
L,40,46.20,24.90,10.00,10.24,0.07,0.00,304.95,-128.96,8.35,0.99,0.05
S,40,18.60,13.10,16.63,14.09,0.02,17.74,434.49,-97.62,12.23,0.59,0.04
L,40,46.50,24.90,10.00,10.18,-0.01,0.00,305.13,126.77,13.96,0.99,0.06
S,40,14.70,13.10,6.32,14.58,0.02,6.14,167.40,-102.99,13.19,0.98,0.04
L,40,45.60,24.90,10.00,10.45,0.06,0.00,296.96,-249.12,13.22,0.99,0.05
S,40,13.80,13.10,3.59,12.95,0.02,3.49,90.60,-100.07,14.56,0.99,0.04
L,40,45.40,24.90,10.00,9.83,0.07,0.00,310.72,-161.33,10.87,0.99,0.04
S,40,15.90,13.10,10.49,9.82,0.01,9.84,298.26,-83.90,15.68,0.87,0.05
L,40,45.40,24.90,10.00,9.93,-0.04,0.00,309.02,236.87,15.95,0.99,0.07
S,40,8.70,13.10,-5.04,8.43,0.00,-12.51,-67.04,-63.19,15.36,0.73,0.07
L,40,45.60,24.90,10.00,9.97,-0.01,0.00,308.31,-37.47,15.74,0.99,0.04
S,40,11.20,13.10,-4.25,5.98,0.10,-5.19,-60.62,-426.85,14.10,0.95,0.07
L,40,45.20,24.90,10.00,10.11,0.07,0.00,304.91,-306.14,6.58,0.99,0.02
S,40,9.10,13.10,-5.57,3.40,0.01,-11.93,-87.46,34.31,14.51,0.76,0.10
L,40,44.10,24.90,10.00,9.98,0.08,0.00,307.66,-195.80,7.16,0.99,0.04
S,40,11.40,13.10,-4.56,1.04,-0.02,-5.17,-51.43,-20.77,20.66,0.97,0.35
L,40,43.90,24.90,10.00,9.93,-0.01,0.00,308.95,99.97,16.67,0.99,0.08
S,40,8.30,13.10,-5.45,-0.15,-0.02,-14.83,-76.21,-33.25,15.38,0.69,0.64
L,40,44.50,24.90,10.00,10.17,-0.05,0.00,303.05,130.32,20.24,0.99,0.06
S,40,4.50,13.10,-5.15,-0.38,-0.02,-26.70,-92.99,-26.46,10.76,0.48,0.64
L,40,43.90,24.90,10.00,10.19,-0.00,0.00,301.69,-101.58,13.40,0.99,0.02
S,40,8.00,13.10,-6.08,-0.60,-0.03,-16.31,-139.35,-12.89,7.60,0.67,0.64
L,40,44.20,24.90,10.00,10.09,0.08,0.00,303.19,-326.09,6.46,0.99,0.02
S,40,7.00,13.10,-11.79,-1.09,-0.11,-19.57,-307.56,290.45,5.84,0.77,0.64
L,40,43.30,24.90,10.00,9.10,0.08,0.00,328.57,-207.52,13.88,0.99,0.08
S,40,10.80,13.10,-8.10,-2.03,-0.03,-8.34,-248.62,-116.69,0.16,0.99,0.64
L,40,44.30,24.90,10.00,10.50,0.06,0.00,297.16,-176.87,22.30,0.99,0.11
S,41,9.80,13.10,-6.83,-3.72,-0.03,-11.36,-207.24,10.03,7.43,0.83,0.64
L,40,43.30,24.90,10.00,10.05,-0.09,0.00,305.92,346.09,26.43,0.99,0.11
S,40,6.90,13.10,-17.72,-5.42,-0.12,-20.45,-465.33,338.93,2.73,0.92,0.64
L,40,43.70,24.90,10.00,10.32,-0.05,0.00,298.54,-8.98,19.56,0.99,0.03
S,40,6.90,13.10,-17.72,-5.42,-0.12,-20.45,-465.33,338.93,2.73,0.92,0.64
L,40,43.20,24.90,10.00,10.13,0.07,0.00,301.83,-384.02,4.68,0.99,0.01
S,40,12.40,13.10,-3.77,-8.92,-0.12,-3.98,-81.10,229.98,8.62,0.99,0.64
S,40,80.00,13.10,16.29,-6.30,-0.03,35.00,404.23,-80.58,18.44,0.06,0.64
L,40,42.20,24.90,10.00,9.72,0.07,0.00,311.61,-216.12,5.94,0.99,0.06
S,40,80.00,13.10,16.28,-1.29,0.01,35.00,404.52,-70.71,18.12,0.06,0.64
L,40,42.70,24.90,10.00,9.78,0.03,0.00,311.83,-68.91,18.71,0.99,0.11
S,40,80.00,13.10,16.36,3.17,0.01,35.00,392.01,-23.42,11.09,0.07,0.64
S,40,80.00,13.10,16.36,3.17,0.01,35.00,392.01,-23.42,11.09,0.07,0.64
L,40,44.00,24.90,10.00,10.04,-0.09,0.00,306.17,308.93,24.52,0.99,0.10
S,40,10.00,13.10,-2.22,6.55,0.01,-4.47,-104.71,-23.20,3.33,0.88,0.64
L,40,44.50,24.90,10.00,10.07,0.03,0.00,305.25,-293.32,19.07,0.99,0.03
S,40,8.70,13.10,-8.51,5.40,0.00,-8.78,-289.78,-5.29,0.36,0.99,0.64
L,40,43.70,24.90,10.00,10.10,0.06,0.00,304.14,-250.49,7.14,0.99,0.01
S,40,6.80,13.10,-14.20,1.93,0.00,-15.12,-428.49,-9.68,1.26,0.97,0.64
L,40,43.30,24.90,10.00,9.92,0.03,0.00,308.28,-87.11,12.91,0.99,0.08
S,40,9.60,13.10,-5.98,-1.94,-0.00,-7.21,-206.54,13.24,1.33,0.94,0.64
S,40,9.60,13.10,-5.98,-1.94,-0.00,-7.21,-206.54,13.24,1.33,0.94,0.64
L,40,45.50,24.90,10.00,10.10,-0.09,0.00,303.86,305.77,19.82,0.99,0.09
S,40,9.40,13.10,-6.77,-4.65,-0.01,-8.32,-179.82,39.83,1.54,0.93,0.64
L,40,44.80,24.90,10.00,10.15,0.02,0.00,301.97,-289.74,16.88,0.99,0.00
S,40,12.80,13.10,1.94,-5.35,-0.02,1.83,53.36,49.79,0.59,0.99,0.64
